slug,view_count,event,filmed
francis_collins_we_need_better_drugs_now,815513,TEDMED 2012,2012-04-12
francis_de_los_reyes_sanitation_is_a_basic_human_right,763372,TED Fellows Retreat 2013,2013-08-14
francoise_mouly_the_stories_behind_the_new_yorker_s_iconic_covers,1015861,TEDNYC,2017-03-08
frank_gehry_as_a_young_rebel,632071,TED1990,1990-03-03
frank_gehry_asks_then_what,972820,TED2002,2002-02-28
frank_warren_half_a_million_secrets,3088372,TED2012,2012-02-29
frans_de_waal_do_animals_have_morals,3724565,TEDxPeachtree,2011-11-04
frans_lanting_photos_that_give_voice_to_the_animal_kingdom,1464195,TED2014,2014-03-11
frans_lanting_s_lyrical_nature_photos,1759692,TED2005,2005-02-02
franz_freudenthal_a_new_way_to_heal_hearts_without_surgery,1263165,TED2016,2016-02-16
fred_jansen_how_to_land_on_a_comet,1115232,TED2015,2015-03-17
fred_swaniker_the_leaders_who_ruined_africa_and_the_generation_who_can_fix_it,1255332,TEDGlobal 2014,2014-10-22
frederic_kaplan_how_i_built_an_information_time_machine,1197066,TEDxCaFoscariU,2013-06-19
frederick_balagadde_bio_lab_on_a_microchip,297916,TED2010,2010-02-11
fredy_peccerelli_a_forensic_anthropologist_who_brings_closure_for_the_disappeared,727900,TEDYouth 2014,2014-11-15
freeman_dyson_says_let_s_look_for_life_in_the_outer_solar_system,912303,TED2003,2003-02-02
freeman_hrabowski_4_pillars_of_college_success_in_science,930638,TED2013,2013-02-28
g_t_bynum_a_republican_mayor_s_plan_to_replace_partisanship_with_policy,685504,TEDxPennsylvaniaAvenue,2017-02-09
gabby_giffords_and_mark_kelly_be_passionate_be_courageous_be_your_best,1063850,TED2014,2014-03-21
gabe_barcia_colombo_my_dna_vending_machine,801260,TED Fellows Retreat 2013,2013-08-19
gabe_zichermann_how_games_make_kids_smarter,451735,TEDxKids@Brussels,2011-06-01
gabriel_barcia_colombo_capturing_memories_in_video_art,755445,TED2012,2012-02-27
gabriela_gonzalez_how_ligo_discovered_gravitational_waves_and_what_might_be_next,388747,TED2017,2017-04-24
gail_reed_where_to_train_the_world_s_doctors_cuba,780998,TEDMED 2014,2014-09-10
garik_israelian_what_s_inside_a_star,598301,TEDGlobal 2009,2009-07-23
garrett_lisi_on_his_theory_of_everything,1523079,TED2008,2008-02-02
garry_kasparov_don_t_fear_intelligent_machines_work_with_them,1238595,TED2017,2017-04-24
garth_lenz_images_of_beauty_and_devastation,802860,TEDxVictoria,2011-11-19
gary_flake_is_pivot_a_turning_point_for_web_exploration,662766,TED2010,2010-02-02
gary_greenberg_the_beautiful_nano_details_of_our_world,1034608,TEDxMaui,2012-04-10
gary_haugen_the_hidden_reason_for_poverty_the_world_needs_to_address_now,1707657,TED2015,2015-03-17
gary_kovacs_tracking_the_trackers,2121925,TED2012,2012-02-29
gary_lauder_s_new_traffic_sign_take_turns,581251,TED2010,2010-02-02
gary_slutkin_let_s_treat_violence_like_a_contagious_disease,744060,TEDMED 2013,2013-04-17
